Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-41.500000,52.500000,-90.000000,bottom
"C1","10uF","CP_Radial_D5.0mm_P2.50mm",3.200000,60.300000,0.000000,top
"C2","10uF","CP_Radial_D5.0mm_P2.50mm",41.300000,5.500000,0.000000,top
"C3","100nF","C_Disc_D3.0mm_W2.0mm_P2.50mm",30.400000,27.600000,0.000000,top
"C4","100nF","C_Disc_D3.0mm_W2.0mm_P2.50mm",9.700000,56.200000,180.000000,top
"C5","100nF","C_Disc_D3.0mm_W2.0mm_P2.50mm",20.000000,42.000000,180.000000,top
"C6","100nF","C_Disc_D3.0mm_W2.0mm_P2.50mm",20.100000,17.200000,180.000000,top
"C7","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",31.700000,44.000000,90.000000,top
"C8","10uF","CP_Radial_D5.0mm_P2.50mm",36.800000,40.200000,180.000000,top
"C9","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",31.700000,51.600000,-90.000000,top
"C10","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",12.500000,42.000000,0.000000,top
"C11","10uF","CP_Radial_D5.0mm_P2.50mm",4.600000,50.100000,-90.000000,top
"C12","10uF","CP_Radial_D5.0mm_P2.50mm",5.500000,20.900000,180.000000,top
"C13","10uF","CP_Radial_D5.0mm_P2.50mm",53.800000,48.300000,180.000000,top
"C14","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",17.000000,60.600000,180.000000,top
"C15","10uF","CP_Radial_D5.0mm_P2.50mm",35.500000,62.000000,180.000000,top
"C16","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",24.900000,14.900000,90.000000,top
"C17","10uF","CP_Radial_D5.0mm_P2.50mm",32.500000,23.100000,-90.000000,top
"C18","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",29.300000,37.100000,180.000000,top
"C19","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",12.700000,17.200000,0.000000,top
"C20","10uF","CP_Radial_D5.0mm_P2.50mm",21.900000,8.900000,180.000000,top
"C21","10uF","CP_Radial_D5.0mm_P2.50mm",29.500000,8.900000,180.000000,top
"C22","10uF","CP_Radial_D5.0mm_P2.50mm",53.800000,29.300000,180.000000,top
"C23","820pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",24.800000,32.900000,-90.000000,top
"C24","10uF","CP_Radial_D5.0mm_P2.50mm",53.800000,9.700000,180.000000,top
"D1","LED_Small_ALT","LED_D5.0mm",27.100000,64.900000,180.000000,top
"J1","Audio Out 1","PJ320A",51.000000,57.750000,-90.000000,top
"J2","Audio Out 2","PJ320A",51.000000,38.800000,-90.000000,top
"J3","Audio In","PJ320A",10.400000,4.700000,90.000000,top
"J4","Audio Out 3","PJ320A",51.000000,19.750000,-90.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",5.200000,65.000000,90.000000,top
"R1","300r","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",13.900000,64.900000,0.000000,top
"R2","10K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",34.900000,10.200000,-90.000000,top
"R3","4.7K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",37.200000,2.600000,90.000000,top
"R4","3K3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",24.100000,41.500000,0.000000,top
"R5","10K","Potentiometer_Vishay_T73YP_Vertical",44.250000,56.250000,0.000000,top
"R6","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",34.300000,51.500000,-90.000000,top
"R7","300r","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",19.500000,37.250000,180.000000,top
"R8","10K","Potentiometer_Vishay_T73YP_Vertical",6.400000,38.000000,0.000000,top
"R9","3K3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",24.100000,55.800000,0.000000,top
"R10","2K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",8.700000,45.100000,90.000000,top
"R11","10K","Potentiometer_Vishay_T73YP_Vertical",44.250000,37.250000,0.000000,top
"R12","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",36.700000,43.900000,90.000000,top
"R13","3K3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",11.900000,55.900000,0.000000,top
"R14","10K","Potentiometer_Vishay_T73YP_Vertical",44.250000,18.250000,0.000000,top
"R15","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",36.900000,19.100000,90.000000,top
"R16","3K3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",27.100000,15.100000,0.000000,top
"R17","10K","Potentiometer_Vishay_T73YP_Vertical",44.250000,48.100000,0.000000,top
"R18","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",34.700000,12.900000,180.000000,top
"R19","300r","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",8.400000,17.100000,90.000000,top
"R20","10K","Potentiometer_Vishay_T73YP_Vertical",6.500000,30.200000,0.000000,top
"R21","3K3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",27.300000,32.600000,0.000000,top
"R22","2K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",19.900000,12.700000,180.000000,top
"R23","10K","Potentiometer_Vishay_T73YP_Vertical",44.300000,29.100000,0.000000,top
"R24","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",34.900000,34.800000,180.000000,top
"R25","3K3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",11.900000,35.000000,0.000000,top
"R26","10K","Potentiometer_Vishay_T73YP_Vertical",44.250000,9.900000,0.000000,top
"R27","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",19.500000,30.500000,180.000000,top
"TP1","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",53.600000,4.000000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",58.800000,3.900000,0.000000,top
"TP3","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",48.500000,3.900000,0.000000,top
"TP4","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",52.200000,61.800000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",17.000000,3.900000,0.000000,top
"TP6","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",52.200000,42.500000,0.000000,top
"TP7","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",52.200000,23.500000,0.000000,top
"TP8","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",57.000000,61.700000,0.000000,top
"TP9","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",24.700000,3.900000,0.000000,top
"TP10","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",57.000000,42.500000,0.000000,top
"TP11","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",57.000000,23.500000,0.000000,top
"U1","TLC274","DIP-14_W7.62mm_Socket_LongPads",12.550000,45.200000,90.000000,top
"U2","TLC274","DIP-14_W7.62mm_Socket_LongPads",12.500000,20.000000,90.000000,top
